"city_name","ebird_code","common_name","scientific_name","species_category","number_of_non_zero_frequency","longest_run_of_non_zero_frequency","smallest_precision"
"Hanoi","wbsbab1","White-browed Scimitar-Babbler","Pomatorhinus schisticeps","species","7","3","60"
"Hanoi","gnlthr","Greater Necklaced Laughingthrush","Ianthocincla pectoralis","species","7","3","20"
"Hanoi","grebar1","Great Barbet","Psilopogon virens","species","5","3","180"
"Hanoi","brnhao1","Brown Boobook","Ninox scutulata","species","7","3","60"
"Hanoi","grbeat1","Green Bee-eater","Merops orientalis","species","7","3","60"
"Hanoi","isbduc1","Indian Spot-billed Duck","Anas poecilorhyncha","species","7","3","20"
"Hanoi","blbthr2","Black-breasted Thrush","Turdus dissimilis","species","8","3","60"
"Hanoi","cfweye1","Chestnut-flanked White-eye","Zosterops erythropleurus","species","7","3","60"
"Hanoi","orisky1","Oriental Skylark","Alauda gulgula","species","7","3","60"
"Hanoi","blwlea1","Blue-winged Leafbird","Chloropsis cochinchinensis","species","6","3","180"
"Hanoi","marori2","Maroon Oriole","Oriolus traillii","species","6","3","180"
"Hanoi","himcuc1","Himalayan Cuckoo","Cuculus saturatus","species","7","3","60"
"Hanoi","blylew1","Blyth's Leaf Warbler","Phylloscopus reguloides","species","7","3","60"
"Hanoi","orihob1","Oriental Hobby","Falco severus","species","7","3","60"
"Hanoi","gycwar2","Gray-cheeked Warbler","Phylloscopus poliogenys","species","5","3","100"
"Hanoi","strgra1","Striated Grassbird","Megalurus palustris","species","6","3","180"
"Hanoi","osprey","Osprey","Pandion haliaetus","species","6","3","100"
"Hanoi","silphe","Silver Pheasant","Lophura nycthemera","species","6","3","100"
"Hanoi","himswi2","Himalayan Swiftlet","Aerodramus brevirostris","species","6","3","60"
"Hanoi","chbeat1","Chestnut-headed Bee-eater","Merops leschenaulti","species","6","3","60"
"Hanoi","gocmyn1","Golden-crested Myna","Ampeliceps coronatus","species","7","3","60"
"Hanoi","chemun","Chestnut Munia","Lonchura atricapilla","species","7","3","60"
"Hanoi","blfred1","Blue-fronted Redstart","Phoenicurus frontalis","species","7","3","60"
"Hanoi","daured1","Daurian Redstart","Phoenicurus auroreus","species","7","3","60"
"Hanoi","bkcsta1","Black-collared Starling","Gracupica nigricollis","species","5","3","180"
"Hanoi","babcuc2","Banded Bay Cuckoo","Cacomantis sonneratii","species","5","4","180"
"Hanoi","rucsun2","Ruby-cheeked Sunbird","Chalcoparia singalensis","species","5","4","180"
"Hanoi","bnttre2","Hume's Treecreeper","Certhia manipurensis","species","5","4","180"
"Hanoi","piefal2","Pied Falconet","Microhierax melanoleucos","species","5","4","180"
"Hanoi","astwar2","Ashy-throated Warbler","Phylloscopus maculipennis","species","5","3","100"
"Hanoi","rubwar1","Russet Bush Warbler","Locustella mandelli","species","5","3","100"
"Hanoi","colbab1","Collared Babbler","Gampsorhynchus torquatus","species","5","3","100"
"Hanoi","davlew1","Davison's Leaf Warbler","Phylloscopus intensior","species","5","3","100"
"Hanoi","copgoo1","Cotton Pygmy-Goose","Nettapus coromandelianus","species","5","3","180"
"Hanoi","limlew1","Limestone Leaf Warbler","Phylloscopus calciatilis","species","5","3","180"
"Hanoi","recwoo2","Red-collared Woodpecker","Picus rabieri","species","5","3","180"
"Hanoi","yeswar1","Yellow-streaked Warbler","Phylloscopus armandii","species","5","3","60"
"Hanoi","latnig2","Large-tailed Nightjar","Caprimulgus macrurus","species","5","3","60"
"Hanoi","blnpit1","Blue-naped Pitta","Hydrornis nipalensis","species","5","3","100"
"Hanoi","blakit1","Black Kite","Milvus migrans","species","5","3","60"
"Hanoi","dausta1","Daurian Starling","Agropsar sturninus","species","5","3","60"
"Hanoi","redava","Red Avadavat","Amandava amandava","species","5","3","60"
"Hanoi","yeebab1","Yellow-eyed Babbler","Chrysomma sinense","species","4","3","180"
"Hanoi","asibar1","asian barbet sp.","Megalaimidae sp.","spuh","4","3","180"
"Hanoi","yectit1","Yellow-cheeked Tit","Machlolophus spilonotus","species","4","3","180"
"Hanoi","grnimp1","Green Imperial-Pigeon (Green)","Ducula aenea [aenea Group]","group (polytypic)","4","3","180"
"Hanoi","asecuc1","Asian Emerald Cuckoo","Chrysococcyx maculatus","species","4","3","180"
"Hanoi","spodov2","Spotted Dove (Eastern)","Streptopelia chinensis chinensis/tigrina","group (polytypic)","4","3","180"
"Hanoi","rock-t1","rock-thrush sp.","Monticola sp.","spuh","4","3","180"
"Hanoi","shbmin2","Short-billed Minivet","Pericrocotus brevirostris","species","4","3","180"
"Hanoi","bllwar1","Blyth's/Claudia's/Hartert's Leaf Warbler","Phylloscopus reguloides/claudiae/goodsoni","slash","4","3","180"
"Hanoi","gyhwoo3","Gray-headed Woodpecker (Black-naped)","Picus canus [guerini Group]","group (polytypic)","4","3","180"
"Hanoi","limwrb1","Limestone Wren-Babbler (Grayish)","Turdinus crispifrons crispifrons/annamensis","group (polytypic)","4","3","180"
